aula_10_LO_QUE_HEMOS_HECHO,se,5,pronoun,n/a,n/a,common,invariable,n/a
aula_10_LO_QUE_HEMOS_HECHO,este,1,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_10_LO_QUE_HEMOS_HECHO,nada,1,pronoun,indefinite,n/a,common,singular,n/a
aula_10_LO_QUE_HEMOS_HECHO,uno,1,pronoun,indefinite,n/a,masculine,singular,n/a
aula_10_LO_QUE_HEMOS_HECHO,me,2,pronoun,personal,1,common,singular,n/a
aula_10_LO_QUE_HEMOS_HECHO,yo,3,pronoun,personal,1,common,singular,nominative
aula_10_LO_QUE_HEMOS_HECHO,nosotros,1,pronoun,personal,1,masculine,plural,n/a
aula_10_LO_QUE_HEMOS_HECHO,os,9,pronoun,personal,2,common,plural,n/a
aula_10_LO_QUE_HEMOS_HECHO,vosotros,1,pronoun,personal,2,masculine,plural,n/a
aula_10_LO_QUE_HEMOS_HECHO,le,1,pronoun,personal,3,common,plural,dative
aula_10_LO_QUE_HEMOS_HECHO,le,1,pronoun,personal,3,common,singular,dative
aula_10_LO_QUE_HEMOS_HECHO,ellos,1,pronoun,personal,3,masculine,plural,n/a
aula_10_LO_QUE_HEMOS_HECHO,lo,6,pronoun,personal,3,masculine,singular,accusative
aula_10_LO_QUE_HEMOS_HECHO,que,24,pronoun,relative,n/a,common,invariable,n/a
aula_10_LO_QUE_HEMOS_HECHO,qué,4,pronoun,interrogative,n/a,n/a,n/a,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,ese,3,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,este,2,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,algo,1,pronoun,indefinite,n/a,common,singular,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,nada,3,pronoun,indefinite,n/a,common,singular,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,todo,1,pronoun,indefinite,n/a,masculine,plural,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,uno,1,pronoun,indefinite,n/a,masculine,singular,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,yo,12,pronoun,personal,1,common,singular,nominative
aula_10_ORDENADOR_DE_TRES_FUNCIONES,nosotros,1,pronoun,personal,1,masculine,plural,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,os,2,pronoun,personal,2,common,plural,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,tú,1,pronoun,personal,2,common,singular,nominative
aula_10_ORDENADOR_DE_TRES_FUNCIONES,sí,2,pronoun,personal,3,common,invariable,oblique
aula_10_ORDENADOR_DE_TRES_FUNCIONES,le,1,pronoun,personal,3,common,singular,dative
aula_10_ORDENADOR_DE_TRES_FUNCIONES,que,15,pronoun,relative,n/a,common,invariable,n/a
aula_10_ORDENADOR_DE_TRES_FUNCIONES,qué,1,pronoun,interrogative,n/a,n/a,n/a,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,se,2,pronoun,n/a,n/a,common,invariable,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,este,1,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,tal,1,pronoun,demonstrative,n/a,common,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,todo,1,pronoun,indefinite,n/a,masculine,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,me,1,pronoun,personal,1,common,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,yo,3,pronoun,personal,1,common,singular,nominative
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,te,3,pronoun,personal,2,common,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,vosotros,1,pronoun,personal,2,masculine,plural,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,se,1,pronoun,personal,3,common,invariable,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,sí,1,pronoun,personal,3,common,invariable,oblique
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,le,2,pronoun,personal,3,common,singular,dative
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,él,1,pronoun,personal,3,masculine,singular,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,que,2,pronoun,relative,n/a,common,invariable,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,qué,7,pronoun,interrogative,n/a,n/a,n/a,n/a
aula_10_SIN_SABER_PARA_LO_QUE_SIRVE,cuál,2,pronoun,interrogative,n/a,common,singular,n/a
aula_20_EXPONE_DOAA,se,9,pronoun,n/a,n/a,common,invariable,n/a
aula_20_EXPONE_DOAA,ese,1,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_20_EXPONE_DOAA,este,2,pronoun,demonstrative,n/a,n/a,singular,n/a
aula_20_EXPONE_DOAA,algo,1,pronoun,indefinite,n/a,common,singular,n/a
aula_20_EXPONE_DOAA,todo,3,pronoun,indefinite,n/a,masculine,singular,n/a
aula_20_EXPONE_DOAA,me,5,pronoun,personal,1,common,singular,n/a
aula_20_EXPONE_DOAA,mí,1,pronoun,personal,1,common,singular,oblique
aula_20_EXPONE_DOAA,se,1,pronoun,personal,3,common,invariable,n/a
aula_20_EXPONE_DOAA,sí,1,pronoun,personal,3,common,invariable,oblique
aula_20_EXPONE_DOAA,le,1,pronoun,personal,3,common,singular,dative
aula_20_EXPONE_DOAA,lo,1,pronoun,personal,3,masculine,plural,accusative
aula_20_EXPONE_DOAA,lo,3,pronoun,personal,3,masculine,singular,accusative
