el,852,determiner,article,evaluative,n/a,singular,n/a
el,758,determiner,article,evaluative,feminine,plural,n/a
el,2744,determiner,article,evaluative,feminine,singular,n/a
el,1032,determiner,article,evaluative,masculine,plural,n/a
el,2830,determiner,article,evaluative,masculine,singular,n/a
tal,1,determiner,demonstrative,evaluative,common,plural,n/a
tal,40,determiner,demonstrative,evaluative,common,singular,n/a
ese,47,determiner,demonstrative,evaluative,feminine,plural,n/a
este,56,determiner,demonstrative,evaluative,feminine,plural,n/a
aquel,21,determiner,demonstrative,evaluative,feminine,singular,n/a
ese,136,determiner,demonstrative,evaluative,feminine,singular,n/a
este,148,determiner,demonstrative,evaluative,feminine,singular,n/a
aquel,6,determiner,demonstrative,evaluative,masculine,plural,n/a
ese,39,determiner,demonstrative,evaluative,masculine,plural,n/a
este,61,determiner,demonstrative,evaluative,masculine,plural,n/a
aquel,18,determiner,demonstrative,evaluative,masculine,singular,n/a
ese,172,determiner,demonstrative,evaluative,masculine,singular,n/a
este,127,determiner,demonstrative,evaluative,masculine,singular,n/a
bastante,8,determiner,indefinite,evaluative,common,plural,n/a
demás,4,determiner,indefinite,evaluative,common,plural,n/a
diferente,3,determiner,indefinite,evaluative,common,plural,n/a
cada,90,determiner,indefinite,evaluative,common,singular,n/a
cualquiera,47,determiner,indefinite,evaluative,common,singular,n/a
alguno,11,determiner,indefinite,evaluative,feminine,plural,n/a
ambos,1,determiner,indefinite,evaluative,feminine,plural,n/a
cierto,4,determiner,indefinite,evaluative,feminine,plural,n/a
cuanto,3,determiner,indefinite,evaluative,feminine,plural,n/a
distinto,3,determiner,indefinite,evaluative,feminine,plural,n/a
mucho,83,determiner,indefinite,evaluative,feminine,plural,n/a
otro,26,determiner,indefinite,evaluative,feminine,plural,n/a
poco,8,determiner,indefinite,evaluative,feminine,plural,n/a
tanto,5,determiner,indefinite,evaluative,feminine,plural,n/a
todo,65,determiner,indefinite,evaluative,feminine,plural,n/a
uno,52,determiner,indefinite,evaluative,feminine,plural,n/a
varios,5,determiner,indefinite,evaluative,feminine,plural,n/a
alguno,49,determiner,indefinite,evaluative,feminine,singular,n/a
cierto,7,determiner,indefinite,evaluative,feminine,singular,n/a
demasiado,2,determiner,indefinite,evaluative,feminine,singular,n/a
mucho,70,determiner,indefinite,evaluative,feminine,singular,n/a
ninguno,15,determiner,indefinite,evaluative,feminine,singular,n/a
otro,93,determiner,indefinite,evaluative,feminine,singular,n/a
poco,16,determiner,indefinite,evaluative,feminine,singular,n/a
tanto,11,determiner,indefinite,evaluative,feminine,singular,n/a
todo,77,determiner,indefinite,evaluative,feminine,singular,n/a
uno,1177,determiner,indefinite,evaluative,feminine,singular,n/a
alguno,12,determiner,indefinite,evaluative,masculine,plural,n/a
ambos,3,determiner,indefinite,evaluative,masculine,plural,n/a
cierto,3,determiner,indefinite,evaluative,masculine,plural,n/a
cuanto,4,determiner,indefinite,evaluative,masculine,plural,n/a
distinto,10,determiner,indefinite,evaluative,masculine,plural,n/a
mucho,63,determiner,indefinite,evaluative,masculine,plural,n/a
otro,48,determiner,indefinite,evaluative,masculine,plural,n/a
poco,7,determiner,indefinite,evaluative,masculine,plural,n/a
tanto,8,determiner,indefinite,evaluative,masculine,plural,n/a
todo,93,determiner,indefinite,evaluative,masculine,plural,n/a
uno,99,determiner,indefinite,evaluative,masculine,plural,n/a
varios,9,determiner,indefinite,evaluative,masculine,plural,n/a
alguno,22,determiner,indefinite,evaluative,masculine,singular,n/a
cierto,5,determiner,indefinite,evaluative,masculine,singular,n/a
mucho,7,determiner,indefinite,evaluative,masculine,singular,n/a
ninguno,30,determiner,indefinite,evaluative,masculine,singular,n/a
otro,72,determiner,indefinite,evaluative,masculine,singular,n/a
poco,3,determiner,indefinite,evaluative,masculine,singular,n/a
todo,238,determiner,indefinite,evaluative,masculine,singular,n/a
uno,1657,determiner,indefinite,evaluative,masculine,singular,n/a
mi,41,determiner,possessive,evaluative,common,plural,singular
mi,218,determiner,possessive,evaluative,common,singular,singular
nuestro,4,determiner,possessive,evaluative,feminine,plural,plural
nuestro,24,determiner,possessive,evaluative,feminine,singular,plural
nuestro,11,determiner,possessive,evaluative,masculine,plural,plural
nuestro,24,determiner,possessive,evaluative,masculine,singular,plural
tu,33,determiner,possessive,evaluative,common,plural,singular
tu,136,determiner,possessive,evaluative,common,singular,singular
vuestro,5,determiner,possessive,evaluative,feminine,singular,plural
vuestro,3,determiner,possessive,evaluative,masculine,singular,plural
su,79,determiner,possessive,evaluative,common,plural,invariable
su,186,determiner,possessive,evaluative,common,singular,invariable
cuánto,8,determiner,interrogative,evaluative,masculine,singular,n/a
